Id	Name	Number												
1000	打击	3												
1002	防御	5												
1003	快速防守	1												
1005	攻守兼备	1												
1008	火花	1												
1011	点水	1												
1014	起草	1												
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
